,match_id,match_venue,match_innings,batting_team,bowling_team,boundry_runs,wickets fallen,run_rate,total_score,Stadium_Category
853,733991.0,M Chinnaswamy Stadium,1.0,Kings XI Punjab,Royal Challengers Bangalore,7.0,0.0,9.833333333333334,59.0,High scoring
854,733991.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Kings XI Punjab,7.0,3.0,5.666666666666667,34.0,Low scoring
855,733995.0,Wankhede Stadium,1.0,Mumbai Indians,Chennai Super Kings,7.0,1.0,7.0,42.0,Medium scoring
856,733995.0,Wankhede Stadium,2.0,Chennai Super Kings,Mumbai Indians,5.0,1.0,6.333333333333333,38.0,Low scoring
857,733993.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Sunrisers Hyderabad,8.0,1.0,8.666666666666666,52.0,Medium scoring
858,733999.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Rajasthan Royals,10.0,3.0,12.5,75.0,High scoring
859,733999.0,M Chinnaswamy Stadium,2.0,Rajasthan Royals,Royal Challengers Bangalore,7.0,0.0,7.5,45.0,Medium scoring
860,733997.0,Barabati Stadium,1.0,Kings XI Punjab,Kolkata Knight Riders,9.0,2.0,8.166666666666666,49.0,Medium scoring
861,733997.0,Barabati Stadium,2.0,Kolkata Knight Riders,Kings XI Punjab,10.0,0.0,9.166666666666666,55.0,High scoring
862,734001.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Sunrisers Hyderabad,Mumbai Indians,7.0,1.0,7.166666666666667,43.0,Medium scoring
863,734001.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Mumbai Indians,Sunrisers Hyderabad,4.0,1.0,6.333333333333333,38.0,Low scoring
864,734003.0,JSCA International Stadium Complex,1.0,Rajasthan Royals,Chennai Super Kings,6.0,0.0,7.0,42.0,Medium scoring
865,734003.0,JSCA International Stadium Complex,2.0,Chennai Super Kings,Rajasthan Royals,7.0,2.0,8.0,48.0,Medium scoring
866,734005.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Delhi Daredevils,5.0,1.0,5.666666666666667,34.0,Low scoring
867,734005.0,M Chinnaswamy Stadium,2.0,Delhi Daredevils,Royal Challengers Bangalore,5.0,2.0,7.666666666666667,46.0,Medium scoring
868,734009.0,Barabati Stadium,1.0,Mumbai Indians,Kolkata Knight Riders,4.0,2.0,6.166666666666667,37.0,Low scoring
869,734009.0,Barabati Stadium,2.0,Kolkata Knight Riders,Mumbai Indians,7.0,0.0,7.5,45.0,Medium scoring
870,734007.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Sunrisers Hyderabad,Kings XI Punjab,8.0,0.0,9.166666666666666,55.0,High scoring
871,734007.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Kings XI Punjab,Sunrisers Hyderabad,16.0,1.0,14.333333333333334,86.0,High scoring
872,734011.0,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,Delhi Daredevils,7.0,1.0,8.666666666666666,52.0,Medium scoring
873,734011.0,"Sardar Patel Stadium, Motera",2.0,Delhi Daredevils,Rajasthan Royals,4.0,2.0,5.5,33.0,Low scoring
874,734015.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Sunrisers Hyderabad,Kolkata Knight Riders,6.0,2.0,6.833333333333333,41.0,Medium scoring
875,734015.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Kolkata Knight Riders,Sunrisers Hyderabad,4.0,1.0,5.0,30.0,Low scoring
876,734013.0,JSCA International Stadium Complex,1.0,Chennai Super Kings,Royal Challengers Bangalore,6.0,2.0,6.5,39.0,Medium scoring
877,734013.0,JSCA International Stadium Complex,2.0,Royal Challengers Bangalore,Chennai Super Kings,2.0,1.0,2.8333333333333335,17.0,Low scoring
878,734019.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Kings XI Punjab,8.0,1.0,9.166666666666666,55.0,High scoring
879,734019.0,Feroz Shah Kotla,2.0,Kings XI Punjab,Delhi Daredevils,9.0,0.0,10.833333333333334,65.0,High scoring
880,734017.0,"Sardar Patel Stadium, Motera",1.0,Mumbai Indians,Rajasthan Royals,6.0,0.0,6.833333333333333,41.0,Medium scoring
881,734017.0,"Sardar Patel Stadium, Motera",2.0,Rajasthan Royals,Mumbai Indians,6.0,3.0,7.5,45.0,Medium scoring
882,734021.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Royal Challengers Bangalore,Sunrisers Hyderabad,2.0,2.0,4.166666666666667,25.0,Low scoring
883,734021.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Sunrisers Hyderabad,Royal Challengers Bangalore,9.0,0.0,8.5,51.0,Medium scoring
884,734023.0,Eden Gardens,1.0,Chennai Super Kings,Kolkata Knight Riders,6.0,1.0,5.833333333333333,35.0,Low scoring
885,734023.0,Eden Gardens,2.0,Kolkata Knight Riders,Chennai Super Kings,9.0,0.0,8.666666666666666,52.0,Medium scoring
886,734025.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Mumbai Indians,7.0,1.0,7.0,42.0,Medium scoring
887,734025.0,"Punjab Cricket Association Stadium, Mohali",2.0,Mumbai Indians,Kings XI Punjab,10.0,0.0,10.333333333333334,62.0,High scoring
888,734029.0,JSCA International Stadium Complex,1.0,Chennai Super Kings,Sunrisers Hyderabad,11.0,1.0,10.0,60.0,High scoring
889,734029.0,JSCA International Stadium Complex,2.0,Sunrisers Hyderabad,Chennai Super Kings,11.0,0.0,10.0,60.0,High scoring
890,734027.0,Eden Gardens,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,2.0,7.5,45.0,Medium scoring
891,734027.0,Eden Gardens,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,6.0,1.0,6.0,36.0,Low scoring
892,734031.0,Wankhede Stadium,1.0,Mumbai Indians,Delhi Daredevils,10.0,0.0,10.833333333333334,65.0,High scoring
893,734031.0,Wankhede Stadium,2.0,Delhi Daredevils,Mumbai Indians,7.0,1.0,7.833333333333333,47.0,Medium scoring
894,734033.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Rajasthan Royals,10.0,1.0,8.833333333333334,53.0,Medium scoring
895,734033.0,"Punjab Cricket Association Stadium, Mohali",2.0,Rajasthan Royals,Kings XI Punjab,6.0,1.0,7.333333333333333,44.0,Medium scoring
896,734035.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Chennai Super Kings,5.0,3.0,5.666666666666667,34.0,Low scoring
897,734035.0,M Chinnaswamy Stadium,2.0,Chennai Super Kings,Royal Challengers Bangalore,10.0,1.0,10.666666666666666,64.0,High scoring
898,734037.0,Eden Gardens,1.0,Sunrisers Hyderabad,Kolkata Knight Riders,8.0,1.0,8.166666666666666,49.0,Medium scoring
899,734037.0,Eden Gardens,2.0,Kolkata Knight Riders,Sunrisers Hyderabad,8.0,1.0,8.166666666666666,49.0,Medium scoring
900,734041.0,Wankhede Stadium,1.0,Rajasthan Royals,Mumbai Indians,6.0,1.0,5.833333333333333,35.0,Low scoring
901,734041.0,Wankhede Stadium,2.0,Mumbai Indians,Rajasthan Royals,11.0,3.0,11.833333333333334,71.0,High scoring
902,734039.0,"Punjab Cricket Association Stadium, Mohali",1.0,Delhi Daredevils,Kings XI Punjab,8.0,3.0,7.333333333333333,44.0,Medium scoring
903,734039.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Delhi Daredevils,7.0,2.0,8.0,48.0,Medium scoring
904,734043.0,Eden Gardens,1.0,Kolkata Knight Riders,Kings XI Punjab,8.0,1.0,9.166666666666666,55.0,High scoring
905,734043.0,Eden Gardens,2.0,Kings XI Punjab,Kolkata Knight Riders,5.0,2.0,7.666666666666667,46.0,Medium scoring
